UnixTime,Interpolated Gaze X,Interpolated Gaze Y,Interpolated Distance,Gaze Velocity,Gaze Acceleration,Fixation Index,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion
1680003662.18989,1046.83333333333,483.166666666667,582.944183349609,8.45299240459834,27.7852700407,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.19817,1049,478.166666666667,582.987701416016,17.2135269979887,1057.65237153142,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.20655,1053.33333333333,468.166666666667,582.923156738281,7.65350052601093,-1140.63766622939,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.21492,1052.33333333333,471.666666666667,582.930084228516,11.0878100023422,410.453977643619,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.22327,1052.16666666667,478.666666666667,582.963256835938,16.8766129196143,692.838342263316,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.2315,1043.83333333333,485.166666666667,582.897857666016,15.4912570575664,-168.289098887862,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.23983,1041.83333333333,489,582.920471191406,8.88418172613048,-793.79524370339,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.24816,1035.83333333333,487.833333333333,582.945922851563,6.92640437587925,-234.844041293497,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.25649,1036.16666666667,485.666666666667,582.8466796875,1.17787511754792,-690.265280781158,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.26483,1035.33333333333,488.833333333333,582.805328369141,12.999566877387,1417.63901665309,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.27317,1036.66666666667,498,582.778747558594,18.7890418877062,694.506425103914,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.28149,1037.66666666667,506.5,582.652099609375,9.89926123020744,-1068.27781405887,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.28983,1045,502.333333333333,582.619476318359,11.4323814034904,183.719418242155,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.29821,1046,499.5,579.404174804688,14.0650182260991,314.378479192254,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.30663,1047.33333333333,489.166666666667,582.517181396484,16.717946380833,315.164435793847,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.31483,1038.33333333333,485.666666666667,582.504669189453,15.5435078285069,-143.131701744207,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.32318,1037.66666666667,478.166666666667,582.514862060547,6.63756738632443,-1066.79688586076,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.33151,1034.5,480.666666666667,582.411499023438,6.70584386765276,8.19635794626217,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.33983,1038.16666666667,484.5,582.389587402344,5.31542866469177,-167.173472197686,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.34827,1038,484.333333333333,582.391632080078,3.06933688365924,-266.033209090033,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.35649,1040.83333333333,483.333333333333,582.296051025391,5.55369131913599,302.383723691097,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.36483,1042.16666666667,481.166666666667,582.291534423828,14.8551941082001,1115.23461573536,1541,1042.25490196078,483.274509803922,517085.69255,517369.0062,283.313649999967,0.183631855792514
1680003662.37319,1054.66666666667,486.166666666667,582.32470703125,36.274121963179,2561.33739775913,,,,,,,
1680003662.38152,1076.5,484.333333333333,582.268920898438,42.6706165450917,767.481112247847,,,,,,,
